student_id,skill,course_count,avg_marks,project_count,project_stars,avg_complexity,assessment_count,assessment_score,verified_score,verified,proficiency
STU0001,Python,0.0,0.0,1.0,56.0,2.0,0.0,0.0,0.0,0,Not Verified
STU0001,Java,0.0,0.0,1.0,138.0,1.0,0.0,0.0,0.0,0,Not Verified
STU0001,JavaScript,1.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0001,React,0.0,0.0,1.0,142.0,2.0,0.0,0.0,0.0,0,Not Verified
STU0001,Node.js,0.0,0.0,1.0,142.0,2.0,0.0,0.0,0.0,0,Not Verified
STU0001,SQL,0.0,0.0,1.0,138.0,1.0,0.0,0.0,0.0,0,Not Verified
STU0001,Machine Learning,1.0,93.0,1.0,56.0,2.0,1.0,76.8,76.8,1,Intermediate
STU0001,Data Science,1.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0001,FastAPI,0.0,0.0,1.0,56.0,2.0,2.0,85.4,85.4,1,Advanced
STU0001,Git,0.0,0.0,0.0,0.0,0.0,1.0,79.2,79.2,1,Intermediate
STU0001,Docker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0001,C++,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0001,HTML/CSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0001,MongoDB,1.0,64.0,1.0,142.0,2.0,0.0,0.0,0.0,0,Not Verified
STU0001,Firebase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0002,Python,0.0,0.0,2.0,217.0,1.5,0.0,0.0,0.0,0,Not Verified
STU0002,Java,1.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0002,JavaScript,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0002,React,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0002,Node.js,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0002,SQL,1.0,84.0,1.0,97.0,2.0,0.0,0.0,0.0,0,Not Verified
STU0002,Machine Learning,1.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0002,Data Science,1.0,79.0,1.0,97.0,2.0,0.0,0.0,0.0,0,Not Verified
STU0002,FastAPI,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0002,Git,0.0,0.0,0.0,0.0,0.0,1.0,68.2,68.2,1,Beginner
STU0002,Docker,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0002,C++,1.0,62.0,0.0,0.0,0.0,1.0,77.5,77.5,1,Intermediate
STU0002,HTML/CSS,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0002,MongoDB,0.0,0.0,0.0,0.0,0.0,1.0,73.5,73.5,1,Intermediate
STU0002,Firebase,1.0,72.0,1.0,120.0,1.0,0.0,0.0,0.0,0,Not Verified
STU0003,Python,0.0,0.0,2.0,200.0,1.5,1.0,70.3,70.3,1,Intermediate
STU0003,Java,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0,Not Verified
STU0003,JavaScript,1.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0003,React,1.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0003,Node.js,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0003,SQL,1.0,74.0,1.0,5.0,2.0,0.0,0.0,0.0,0,Not Verified
STU0003,Machine Learning,1.0,87.0,1.0,107.0,1.0,0.0,0.0,0.0,0,Not Verified
STU0003,Data Science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0003,FastAPI,1.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0003,Git,1.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0003,Docker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0003,C++,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0003,HTML/CSS,1.0,80.0,0.0,0.0,0.0,1.0,62.0,62.0,1,Beginner
STU0003,MongoDB,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0003,Firebase,0.0,0.0,1.0,93.0,2.0,0.0,0.0,0.0,0,Not Verified
STU0004,Python,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0004,Java,0.0,0.0,1.0,62.0,2.0,1.0,65.9,65.9,1,Beginner
STU0004,JavaScript,0.0,0.0,1.0,22.0,1.0,0.0,0.0,0.0,0,Not Verified
STU0004,React,1.0,93.0,1.0,22.0,1.0,0.0,0.0,0.0,0,Not Verified
STU0004,Node.js,1.0,55.0,1.0,22.0,1.0,0.0,0.0,0.0,0,Not Verified
STU0004,SQL,1.0,85.0,2.0,84.0,1.5,0.0,0.0,0.0,0,Not Verified
STU0004,Machine Learning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0004,Data Science,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0004,FastAPI,0.0,0.0,0.0,0.0,0.0,1.0,71.9,71.9,1,Intermediate
STU0004,Git,1.0,98.0,0.0,0.0,0.0,1.0,61.9,61.9,1,Beginner
STU0004,Docker,1.0,89.0,0.0,0.0,0.0,1.0,73.5,73.5,1,Intermediate
STU0004,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0004,HTML/CSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0004,MongoDB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0004,Firebase,1.0,96.0,0.0,0.0,0.0,1.0,60.0,60.0,1,Beginner
STU0005,Python,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0005,Java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0005,JavaScript,1.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0005,React,0.0,0.0,0.0,0.0,0.0,1.0,60.1,60.1,1,Beginner
STU0005,Node.js,1.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0005,SQL,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0005,Machine Learning,1.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0005,Data Science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0005,FastAPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0005,Git,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0005,Docker,1.0,59.0,0.0,0.0,0.0,1.0,82.7,82.7,1,Intermediate
STU0005,C++,1.0,90.0,0.0,0.0,0.0,1.0,71.3,71.3,1,Intermediate
STU0005,HTML/CSS,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0005,MongoDB,0.0,0.0,0.0,0.0,0.0,1.0,66.3,66.3,1,Beginner
STU0005,Firebase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0006,Python,0.0,0.0,1.0,53.0,1.0,1.0,61.0,61.0,1,Beginner
STU0006,Java,1.0,64.0,1.0,121.0,3.0,0.0,0.0,0.0,0,Not Verified
STU0006,JavaScript,1.0,67.0,2.0,87.0,1.5,1.0,79.2,79.2,1,Intermediate
STU0006,React,0.0,0.0,3.0,146.0,2.0,0.0,0.0,0.0,0,Not Verified
STU0006,Node.js,1.0,90.0,3.0,146.0,2.0,0.0,0.0,0.0,0,Not Verified
STU0006,SQL,0.0,0.0,3.0,208.0,2.0,0.0,0.0,0.0,0,Not Verified
STU0006,Machine Learning,0.0,0.0,1.0,53.0,1.0,0.0,0.0,0.0,0,Not Verified
STU0006,Data Science,1.0,80.0,1.0,53.0,1.0,1.0,50.8,50.8,1,Beginner
STU0006,FastAPI,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0006,Git,1.0,78.0,0.0,0.0,0.0,1.0,89.8,89.8,1,Advanced
STU0006,Docker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0006,C++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0006,HTML/CSS,1.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0006,MongoDB,0.0,0.0,1.0,59.0,3.0,1.0,70.4,70.4,1,Intermediate
STU0006,Firebase,1.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0007,Python,1.0,64.0,2.0,124.0,1.5,0.0,0.0,0.0,0,Not Verified
STU0007,Java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0007,JavaScript,1.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0007,React,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0007,Node.js,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0007,SQL,1.0,75.0,0.0,0.0,0.0,1.0,52.4,52.4,1,Beginner
STU0007,Machine Learning,1.0,88.0,1.0,18.0,2.0,0.0,0.0,0.0,0,Not Verified
STU0007,Data Science,0.0,0.0,1.0,18.0,2.0,0.0,0.0,0.0,0,Not Verified
STU0007,FastAPI,1.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
STU0007,Git,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Not Verified
